CRM;FANTASIA;CNPJ;TELEFONE;CIDADE;ENDERECO;BAIRRO;CEP;CODIGO_IBGE;ESTADO;ATIVO;STATUS;DIAS_LIBERADOS;MODULOS
39176;Drogaria Farma Lima Loja 02/ADM - PAULO;08.861.917/0002-73;92992675290 / 92;Manaus;Av Itauba 18;Jorge Teixeira;69088-240;1302603;AM;Sim;CLIENTE;30.0;MERCHFARMA: 8,HOS P344: 8,HOS FISCAL: 8,HOS REPLICADOR: 8,HOSTRIBUTARIO: 8,HOSCLOUD BACKUP: 8,HOSCHAT: 4,HOSGESTÃO PLUS: 8,UNICO CONTATO: 1,INTEGRAÇÃO MAGGU: 8
39177;Drogaria Farma Lima Loja 03 - PAULO;08.861.917/0003-54;92999352553 / 92;Manaus;Av Jose Napoles Hitotuzi 51 Sala 06;Lago Azul;69018-150;1302603;AM;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,HOS FISCAL: 7,HOS REPLICADOR: 7,HOSTRIBUTARIO: 7,HOSCHAT: 4,HOSGESTÃO PLUS: 7,UNICO CONTATO: 7,INTEGRAÇÃO MAGGU: 7
39178;Drogaria Farma Lima Loja 04 - PAULO;08.861.917/0004-35;92993525533 / 92;Manaus;Av Leonardo Malcher 783;Centro;69010-170;1302603;AM;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,HOS FISCAL: 7,HOS REPLICADOR: 7,HOSTRIBUTARIO: 7,HOSCHAT: 4,HOSGESTÃO PLUS: 7,UNICO CONTATO: 7,INTEGRAÇÃO MAGGU: 7
39179;Barato e Neto Drogaria - BASE4;06.031.296/0001-94;1735224331 / 17;Catiguá;Av Manoel Simeão Rodrigues 279;Catigua;15874-899;3511201;SP;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOS REPLICADOR: 4,HOSTRIBUTARIO: 4,HOSCHAT: 4
39180;Drogaria São Sebastião Filial 1 - BASE4;00.930.739/0001-00;1735641094 / 17;Catiguá;Av Jose Zancaner 548;Centro;15870-001;3511201;SP;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOS REPLICADOR: 3,HOSTRIBUTARIO: 3,HOSCHAT: 3,INTEGRAÇÃO MAGGU: 3
39181;Drogaria Modelo de Tabapua Filial 2 - BASE4;23.835.166/0001-23;1735621655 / 17;Tabapuã;Rua Dr Arthur Ortenblad 1292;Centro;15880-021;3552601;SP;Sim;CLIENTE;5.0;MERCHFARMA: 3,HOS P344: 3,HOS REPLICADOR: 3,HOSTRIBUTARIO: 3,HOSCHAT: 3,INTEGRAÇÃO MAGGU: 3
39182;Suprafarma;58.227.370/0001-46;73998104748 / 73;Ibirataia;Rua Lourival Jose de Souza 1;Everaldo Guimaraes;45580-000;2912905;BA;Sim;CLIENTE;1.0;MERCHFARMA: 3,HOS P344: 3
39183;Farmacia Brito - ANDRE;57.730.656/0001-87;73988758812 / 73;Porto Seguro;Rua Nilo Fraga S/N ;Frei Calixto;45810-000;2925303;BA;Sim;CLIENTE;1.0;MERCHFARMA: 2,HOS P344: 2,HOSTRIBUTARIO: 2
39184;A&D Farma ;58.171.178/0001-85;1121984677 / 11;São Paulo;Rua Abilio Pedro Ramos 66;Vila Nilo;02279-000;3550308;SP;Sim;CLIENTE;15.0;MERCHFARMA: 4,HOS P344: 4,ESTAÇÃO ADICIONAL: 1,HOSCLOUD BACKUP: 4,INTEGRAÇÃO IFOOD: 4,HOSCHAT: 4
39185;Drogaria Gomes - BASE4;49.676.266/0001-48;1149927045 / 11;São Bernardo do Campo;Rua Nova Esperança 1;Alvarenga;09857-050;3548708;SP;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS REPLICADOR: 5,HOSTRIBUTARIO: 5,HOSCHAT: 5
